respondent_id,xyz_vaccine,seasonal_vaccine
0,0.028103293044880132,0.04517101157250659
1,0.20385261905674756,0.152139972955782
2,0.03858752555880295,0.10905583709151888
3,0.08469127742186722,0.9462125244999718
4,0.03318022821996002,0.05613076920614973
5,0.14472335834433045,0.9277110981879502
6,0.08728158085448623,0.22638644593090673
7,0.5728628022990563,0.21926068351084543
8,0.07188951567026196,0.29770602702387333
9,0.09383484443445551,0.2994633993638266
10,0.0769538519246728,0.4731900423325084
11,0.08404722640233354,0.34211176288015105
12,0.05977230398660272,0.9562578396500535
13,0.03900659228990951,0.14700038137773166
14,0.33999264661783474,0.5320218877032635
15,0.037918190043069414,0.1454456413159673
16,0.28590412733917087,0.9152242954588348
17,0.08984686995288198,0.41861433565293993
18,0.6976421926488369,0.9521221694797036
19,0.1421339572093654,0.5205682484126866
20,0.28837836253016597,0.5109082026621758
21,0.49117254923836995,0.34748408061485475
22,0.2633972935621061,0.3470803139117968
23,0.24697337456547616,0.17776503558685375
24,0.0819711499506586,0.11398097052570114
25,0.0677005445693335,0.2620601408949443
26,0.2183985967572067,0.8035633995581334
27,0.08495982748709209,0.2530533246046454
28,0.012633758163460317,0.06918177037051092
29,0.12369129653229267,0.4795553939654691
30,0.058125819374770044,0.4794555486311471
31,0.06267283626808011,0.08293134019624769
32,0.0887176354824103,0.2375535528691437
33,0.6648539160674877,0.718468918680647
34,0.13711988302410438,0.14633613637885123
35,0.4344620502160809,0.5259230404961787
36,0.06672155359408893,0.7033846582043947
37,0.05830844401644823,0.13613435589083547
38,0.2047128160757003,0.6565795597306733
39,0.46031282205886714,0.857922903339452
40,0.24401456699863225,0.45748130658542946
41,0.46303212500786906,0.7115005205138805
42,0.027415835820658294,0.034194678846468145
43,0.22657039371122628,0.14830685719385742
44,0.050113849666453915,0.15289872164422008
45,0.028697576698809308,0.20529814677571592
46,0.23262878894499198,0.35410506807163117
47,0.16126121189093595,0.17074135368333457
48,0.36946136479296665,0.7896061096380333
49,0.30335887138110657,0.4487880662962899
50,0.1921569669284219,0.47611408963880797
51,0.14613390113274446,0.6621608648821327
52,0.11835515639514467,0.1868313418715632
53,0.158032639520887,0.4709192533657821
54,0.080383409353132,0.2253702561123018
55,0.11562901202039483,0.24806066129855445
56,0.16790047827444565,0.8897752721610431
57,0.14353292792033906,0.551461325200259
58,0.05953409944506159,0.5941311215769105
59,0.017692983331178077,0.2075487577428735
60,0.6774823272567361,0.8988158993412463
61,0.07776799424027289,0.2930929535884246
62,0.038330348506696914,0.16698816845071238
63,0.4741463968283903,0.6750219776005779
64,0.059109896568587283,0.11520137793814182
65,0.042393246212392634,0.14454391397462615
66,0.07855729089385109,0.08130493186784424
67,0.37315580158485406,0.7361784319561376
68,0.05450718325731825,0.8604063323959525
69,0.06691919129494274,0.5844897312818438
70,0.055657206115530856,0.10995647669630249
71,0.26302905290320766,0.9568308353568596
72,0.12417278999493724,0.3414154614607311
73,0.33921361119488175,0.919869027054287
74,0.5946523671938451,0.6657776087788593
75,0.5620850138362774,0.7463392723182043
76,0.17830405798327978,0.7566123659016718
77,0.1825645232137126,0.9068771170828351
78,0.278394396464997,0.6166795024572815
79,0.3953564992802339,0.8897491491511955
80,0.06296383376881728,0.17384526629679983
81,0.10491560662274399,0.43463079609934263
82,0.4323210082169212,0.5932777891483526
83,0.386512111583557,0.6211333946478589
84,0.7292533984174446,0.9504541488572311
85,0.5720229829667329,0.7895677589181478
86,0.0400926608095773,0.13618082210043345
87,0.07392823276752755,0.1957780884361498
88,0.0310324159123314,0.5369324682755007
89,0.03490770970112486,0.06653972769044504
90,0.18527586598272985,0.23091873028590462
91,0.15356952097318016,0.865518257280543
92,0.01601372952344306,0.07004440107789921
93,0.3119113647428659,0.4539208177310588
94,0.5482525427251046,0.7186480803675711
95,0.3645113551885222,0.4165448893591211
96,0.7997399832187951,0.9577456556531911
97,0.29748731337059625,0.846974643323029
98,0.15417899151424805,0.04630806469390761
99,0.10545630570693841,0.4605646384437191
